old_name,strain,substrate,day,new_name
IMG_4631,bmtr5-80-9,arabinose,4d,bmtr5-80-9_arabinose_4d
IMG_4632,bmtr5-80-9,galactose,4d,bmtr5-80-9_galactose_4d
IMG_4633,bmtr5-80-9,rhamnose,4d,bmtr5-80-9_rhamnose_4d
IMG_4634,bmtr5-80-9,galacturonic-acid,4d,bmtr5-80-9_galacturonic-acid_4d
IMG_4635,bmtr5-80-9,lactose,4d,bmtr5-80-9_lactose_4d
IMG_4649,CBS464,cellulose,5d,CBS464_cellulose_5d
IMG_4650,CBS464,celluloseBPB,5d,CBS464_celluloseBPB_5d
IMG_4651,CBS464,starch,5d,CBS464_starch_5d
IMG_4652,CBS464,inulin,5d,CBS464_inulin_5d
IMG_4653,CBS464,guar-gum,5d,CBS464_guar-gum_5d
IMG_4654,CBS464,PGA,5d,CBS464_PGA_5d
IMG_4655,CBS464,pectin-apple,5d,CBS464_pectin-apple_5d
IMG_4656,CBS464,pectin-citrus,5d,CBS464_pectin-citrus_5d
IMG_4669,CBS464,SBP,5d,CBS464_SBP_5d
IMG_4670,CBS464,none,5d,CBS464_none_5d
IMG_4671,CBS464,glycerol,5d,CBS464_glycerol_5d
IMG_4672,CBS464,cellobiose,5d,CBS464_cellobiose_5d
IMG_4673,CBS464,xylose,5d,CBS464_xylose_5d
IMG_4674,CBS464,fructose,5d,CBS464_fructose_5d
IMG_4675,CBS464,mannose,5d,CBS464_mannose_5d
IMG_4676,CBS464,arabinose,5d,CBS464_arabinose_5d
IMG_4677,CBS464,galactose,5d,CBS464_galactose_5d
IMG_4679,CBS464,rhamnose,5d,CBS464_rhamnose_5d
IMG_4680,CBS464,galacturonic-acid,5d,CBS464_galacturonic-acid_5d
IMG_4681,CBS464,lactose,5d,CBS464_lactose_5d
IMG_4685,bmtr2-34-1,cellulose,5d,bmtr2-34-1_cellulose_5d
IMG_4686,bmtr2-34-1,celluloseBPB,5d,bmtr2-34-1_celluloseBPB_5d
IMG_4687,bmtr2-34-1,starch,5d,bmtr2-34-1_starch_5d
IMG_4688,bmtr2-34-1,inulin,5d,bmtr2-34-1_inulin_5d
IMG_4689,bmtr2-34-1,guar-gum,5d,bmtr2-34-1_guar-gum_5d
IMG_4690,bmtr2-34-1,PGA,5d,bmtr2-34-1_PGA_5d
IMG_4691,bmtr2-34-1,pectin-apple,5d,bmtr2-34-1_pectin-apple_5d
IMG_4692,bmtr2-34-1,pectin-citrus,5d,bmtr2-34-1_pectin-citrus_5d
IMG_4693,bmtr2-34-1,SBP,5d,bmtr2-34-1_SBP_5d
IMG_4694,bmtr2-34-1,none,5d,bmtr2-34-1_none_5d
IMG_4695,bmtr2-34-1,glycerol,5d,bmtr2-34-1_glycerol_5d
IMG_4696,bmtr2-34-1,cellobiose,5d,bmtr2-34-1_cellobiose_5d
IMG_4697,bmtr2-34-1,xylose,5d,bmtr2-34-1_xylose_5d
IMG_4698,bmtr2-34-1,fructose,5d,bmtr2-34-1_fructose_5d
IMG_4699,bmtr2-34-1,mannose,5d,bmtr2-34-1_mannose_5d
IMG_4700,bmtr2-34-1,arabinose,5d,bmtr2-34-1_arabinose_5d
IMG_4701,bmtr2-34-1,galactose,5d,bmtr2-34-1_galactose_5d
IMG_4702,bmtr2-34-1,rhamnose,5d,bmtr2-34-1_rhamnose_5d
IMG_4703,bmtr2-34-1,galacturonic-acid,5d,bmtr2-34-1_galacturonic-acid_5d
IMG_4704,bmtr2-34-1,lactose,5d,bmtr2-34-1_lactose_5d
IMG_4705,bmtr3-35-2,cellulose,5d,bmtr3-35-2_cellulose_5d
IMG_4706,bmtr3-35-2,celluloseBPB,5d,bmtr3-35-2_celluloseBPB_5d
IMG_4707,bmtr3-35-2,starch,5d,bmtr3-35-2_starch_5d
IMG_4708,bmtr3-35-2,inulin,5d,bmtr3-35-2_inulin_5d
IMG_4709,bmtr3-35-2,guar-gum,5d,bmtr3-35-2_guar-gum_5d
IMG_4710,bmtr3-35-2,PGA,5d,bmtr3-35-2_PGA_5d
IMG_4711,bmtr3-35-2,pectin-apple,5d,bmtr3-35-2_pectin-apple_5d
